"DATE","TIME PERIOD","Monetary aggregate M1 reported by MFIs, central gov. and post office giro institutions in the euro area (transactions) (BSI.M.U2.N.V.M10.X.4.U2.2300.Z01.E)"
"2002-11-30","2002Nov","59919"
"2002-12-31","2002Dec","77520"
"2003-01-31","2003Jan","-60968"
"2003-02-28","2003Feb","10350"
"2003-03-31","2003Mar","46985"
"2003-04-30","2003Apr","30908"
"2003-05-31","2003May","37531"
"2003-06-30","2003Jun","55366"
"2003-07-31","2003Jul","-18940"
"2003-08-31","2003Aug","-13830"
"2003-09-30","2003Sep","45834"
"2003-10-31","2003Oct","4341"
"2003-11-30","2003Nov","49239"
"2003-12-31","2003Dec","64909"
"2004-01-31","2004Jan","-24639"
"2004-02-29","2004Feb","1663"
"2004-03-31","2004Mar","40774"
"2004-04-30","2004Apr","24456"
"2004-05-31","2004May","18743"
"2004-06-30","2004Jun","44240"
"2004-07-31","2004Jul","1352"
"2004-08-31","2004Aug","-38726"
"2004-09-30","2004Sep","63089"
"2004-10-31","2004Oct","10140"
"2004-11-30","2004Nov","50481"
"2004-12-31","2004Dec","38765"
"2005-01-31","2005Jan","14630"
"2005-02-28","2005Feb","4410"
"2005-03-31","2005Mar","26858"
"2005-04-30","2005Apr","33116"
"2005-05-31","2005May","30212"
"2005-06-30","2005Jun","76848"
"2005-07-31","2005Jul","16477"
"2005-08-31","2005Aug","-50599"
"2005-09-30","2005Sep","53283"
"2005-10-31","2005Oct","27186"
"2005-11-30","2005Nov","28233"
"2005-12-31","2005Dec","91851"
"2006-01-31","2006Jan","-36410"
"2006-02-28","2006Feb","-3182"
"2006-03-31","2006Mar","28733"
"2006-04-30","2006Apr","66628"
"2006-05-31","2006May","18727"
"2006-06-30","2006Jun","48221"
"2006-07-31","2006Jul","-25620"
"2006-08-31","2006Aug","-56661"
"2006-09-30","2006Sep","64768"
"2006-10-31","2006Oct","-17356"
"2006-11-30","2006Nov","47964"
"2006-12-31","2006Dec","138902"
"2007-01-31","2007Jan","-81557"
"2007-02-28","2007Feb","-6335"
"2007-03-31","2007Mar","61585"
"2007-04-30","2007Apr","20819"
"2007-05-31","2007May","21207"
"2007-06-30","2007Jun","67923"
"2007-07-31","2007Jul","-12646"
"2007-08-31","2007Aug","-82163"
"2007-09-30","2007Sep","76200"
"2007-10-31","2007Oct","-30383"
"2007-11-30","2007Nov","41549"
"2007-12-31","2007Dec","69851"
"2008-01-31","2008Jan","-61882"
